"Word"	"Duration"	"Speaker"	"File"	"POS"	"Ideal"	"Surface"	"ParseIdeal"	"ParseSurface"	"Prepausal"	"SylNIdeal"	"SylNSurface"	"StressGuess"	"TimeInto"	"IsYoung"	"IsMale"	"IntIsMale"
"the"	73	1	"01a"	"DT"	"Di"	"nV"	"Di"	"nV"	0	1	1	"0"	51.2377	1	0	0
"west"	196	1	"01a"	"JJ"	"wEst"	"wEs"	"wEst"	"wEs"	0	1	1	"1"	51.3096	1	0	0
"side"	186	1	"01a"	"NN"	"s2d"	"s2"	"s2d"	"s2"	0	1	1	"1"	51.5035	1	0	0
"of"	113	1	"01a"	"IN"	"Vv"	"Vf"	"Vv"	"Vf"	0	1	1	"1"	51.6885	1	0	0
"columbus"	676	1	"01a"	"NN"	"k5lVmbVs"	"klVmbEs"	"k5.lVm.bVs"	"klVm.bEs"	1	3	2	"??"	51.8008	1	0	0
"um"	443	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	53.265	1	0	0
"um"	301	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	56.5983	1	0	0
"i'm"	274	1	"01a"	"PRP_VBP"	"2m"	"2m"	"2m"	"2m"	0	1	1	"1"	56.8987	1	0	0
"a"	311	1	"01a"	"DT"	"1"	"1"	"1"	"1"	0	1	1	"0"	57.1719	1	0	0
"um"	409	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	57.4825	1	0	0
"it's"	141	1	"01a"	"PRP_VBZ"	"Its"	"Is"	"Its"	"Is"	0	1	1	"1"	59.7987	1	0	0
"kind"	181	1	"01a"	"NN"	"k2nd"	"kVn"	"k2nd"	"kVn"	0	1	1	"1"	59.9383	1	0	0
"of"	95	1	"01a"	"IN"	"Vv"	"Vv"	"Vv"	"Vv"	0	1	1	"1"	60.118	1	0	0
"a"	106	1	"01a"	"DT"	"1"	"1"	"1"	"1"	0	1	1	"0"	60.2123	1	0	0
"unique"	269	1	"01a"	"JJ"	"junik"	"jInik"	"ju.nik"	"jI.nik"	0	2	2	"01"	60.3181	1	0	0
"position"	561	1	"01a"	"NN"	"pVzISVn"	"pVzVSVn"	"pV.zI.SVn"	"pV.zV.SVn"	0	3	3	"010"	60.5853	1	0	0
"i"	145	1	"01a"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	61.2995	1	0	0
"guess"	234	1	"01a"	"NN"	"gEs"	"gEs"	"gEs"	"gEs"	0	1	1	"1"	61.4441	1	0	0
"i'm"	188	1	"01a"	"PRP_VBP"	"2m"	"Vm"	"2m"	"Vm"	0	1	1	"1"	61.6769	1	0	0
"a"	119	1	"01a"	"DT"	"1"	"1"	"1"	"1"	0	1	1	"0"	61.864	1	0	0
"um"	321	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	61.9823	1	0	0
"my"	262	1	"01a"	"PRP$"	"m2"	"m2"	"m2"	"m2"	1	1	1	"1"	62.5184	1	0	0
"job"	275	1	"01a"	"NN"	"_5b"	"_Qb"	"_5b"	"_Qb"	0	1	1	"1"	63.0187	1	0	0
"title"	240	1	"01a"	"NN"	"t2tP"	"t2RP"	"t2.tP"	"t2.RP"	0	2	2	"10"	63.292	1	0	0
"is"	80	1	"01a"	"VBZ"	"Iz"	"Vz"	"Iz"	"Vz"	0	1	1	"1"	63.53	1	0	0
"a"	60	1	"01a"	"DT"	"1"	"U"	"1"	"U"	0	1	1	"0"	63.6091	1	0	0
"senior"	354	1	"01a"	"JJ"	"sinj3"	"sinj3"	"sin.j3"	"sin.j3"	0	2	2	"10"	63.6691	1	0	0
"research"	536	1	"01a"	"NN"	"rIs3J"	"ris3J"	"rI.s3J"	"ri.s3J"	0	2	2	"01"	64.0191	1	0	0
"associate"	631	1	"01a"	"NN"	"Vs5Si1t"	"Us5siEY"	"V.s5.Si.1t"	"U.s5.si.EY"	1	4	4	"0100"	64.5511	1	0	0
"um"	309	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	65.2983	1	0	0
"i"	225	1	"01a"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	66.4455	1	0	0
"received"	386	1	"01a"	"VBD"	"rIsivd"	"risivd"	"rI.sivd"	"ri.sivd"	0	2	2	"01"	66.67	1	0	0
"my"	357	1	"01a"	"PRP$"	"m2"	"m2"	"m2"	"m2"	0	1	1	"1"	67.0537	1	0	0
"um"	345	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	67.4097	1	0	0
"bachelors"	461	1	"01a"	"NNS"	"b{JVl3z"	"b{Sl3s"	"b{.JV.l3z"	"b{S.l3s"	0	3	2	"10"	67.7542	1	0	0
"masters"	475	1	"01a"	"NNS"	"m{st3z"	"m{st3s"	"m{.st3z"	"m{.st3s"	0	2	2	"10"	68.2118	1	0	0
"p"	161	1	"01a"	"VBP"	"pi"	"pi"	"pi"	"pi"	0	1	1	"1"	68.6838	1	0	0
"h"	175	1	"01a"	"JJ"	"1J"	"1J"	"1J"	"1J"	0	1	1	"1"	68.8438	1	0	0
"d"	121	1	"01a"	"NN"	"di"	"di"	"di"	"di"	0	1	1	"1"	69.018	1	0	0
"and"	73	1	"01a"	"CC"	"{nd"	"In"	"{nd"	"In"	0	1	1	"0"	69.138	1	0	0
"nurse"	144	1	"01a"	"NN"	"n3s"	"n3s"	"n3s"	"n3s"	0	1	1	"1"	69.2108	1	0	0
"practitioner"	543	1	"01a"	"NN"	"pr{ktISVn3"	"prVktISnV"	"pr{k.tI.SV.n3"	"prVk.tI.SnV"	0	4	3	"010"	69.354	1	0	0
"all"	201	1	"01a"	"DT"	"Ql"	"Q"	"Ql"	"Q"	0	1	1	"1"	69.8941	1	0	0
"from"	195	1	"01a"	"IN"	"frVm"	"frVm"	"frVm"	"frVm"	0	1	1	"1"	70.0948	1	0	0
"here"	226	1	"01a"	"RB"	"hIr"	"hir"	"hIr"	"hir"	0	1	1	"1"	70.2873	1	0	0
"from"	188	1	"01a"	"IN"	"frVm"	"frVm"	"frVm"	"frVm"	0	1	1	"1"	70.5124	1	0	0
"o"	145	1	"01a"	"NN"	"5"	"5"	"5"	"5"	0	1	1	"1"	70.6989	1	0	0
"s"	264	1	"01a"	"VBZ"	"Es"	"ES"	"Es"	"ES"	0	1	1	"1"	70.8433	1	0	0
"u"	283	1	"01a"	"NN"	"ju"	"ju"	"ju"	"ju"	1	1	1	"1"	71.1057	1	0	0
"and"	524	1	"01a"	"CC"	"{nd"	"{nd"	"{nd"	"{nd"	0	1	1	"0"	71.9445	1	0	0
"i'm"	338	1	"01a"	"PRP_VBP"	"2m"	"2m"	"2m"	"2m"	0	1	1	"1"	72.467	1	0	0
"working"	285	1	"01a"	"VBG"	"w3kIN"	"w3kiN"	"w3.kIN"	"w3.kiN"	0	2	2	"10"	72.8042	1	0	0
"down"	204	1	"01a"	"RP"	"d6n"	"d6n"	"d6n"	"d6n"	0	1	1	"1"	73.0877	1	0	0
"at"	107	1	"01a"	"IN"	"{t"	"Vt"	"{t"	"Vt"	0	1	1	"1"	73.2897	1	0	0
"dodd"	217	1	"01a"	"JJ"	"dQd"	"dQR"	"dQd"	"dQR"	0	1	1	"1"	73.3962	1	0	0
"hall"	397	1	"01a"	"NN"	"hQl"	"hQl"	"hQl"	"hQl"	0	1	1	"1"	73.6125	1	0	0
"in"	165	1	"01a"	"IN"	"In"	"In"	"In"	"In"	0	1	1	"0"	74.007	1	0	0
"a"	68	1	"01a"	"DT"	"1"	"V"	"1"	"V"	0	1	1	"0"	74.1712	1	0	0
"research"	364	1	"01a"	"NN"	"rIs3J"	"ris3J"	"rI.s3J"	"ri.s3J"	0	2	2	"01"	74.239	1	0	0
"position"	613	1	"01a"	"NN"	"pVzISVn"	"pUzVSVn"	"pV.zI.SVn"	"pU.zV.SVn"	0	3	3	"010"	74.601	1	0	0
"i'm"	159	1	"01a"	"PRP_VBP"	"2m"	"Vm"	"2m"	"Vm"	0	1	1	"1"	75.2105	1	0	0
"also"	286	1	"01a"	"RB"	"Qls5"	"QsV"	"Qls.5"	"Q.sV"	0	2	2	"10"	75.3693	1	0	0
"a"	44	1	"01a"	"DT"	"1"	"V"	"1"	"V"	0	1	1	"0"	75.6547	1	0	0
"nurse"	211	1	"01a"	"NN"	"n3s"	"n3s"	"n3s"	"n3s"	0	1	1	"1"	75.6981	1	0	0
"practitioner"	666	1	"01a"	"NN"	"pr{ktISVn3"	"pr{ktISn3"	"pr{k.tI.SV.n3"	"pr{k.tI.Sn3"	0	4	3	"010"	75.9076	1	0	0
"down"	255	1	"01a"	"RB"	"d6n"	"d6n"	"d6n"	"d6n"	0	1	1	"1"	76.5687	1	0	0
"there"	287	1	"01a"	"RB"	"DEr"	"nEr"	"DEr"	"nEr"	0	1	1	"1"	76.8223	1	0	0
"that"	270	1	"01a"	"IN"	"D{t"	"D{Y"	"D{t"	"D{Y"	1	1	1	"1"	77.1078	1	0	0
"um"	283	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	77.4278	1	0	0
"sees"	173	1	"01a"	"VBZ"	"siz"	"siz"	"siz"	"siz"	0	1	1	"1"	77.8245	1	0	0
"patients"	473	1	"01a"	"NNS"	"p1SVnts"	"p1SVnts"	"p1.SVnts"	"p1.SVnts"	0	2	2	"10"	77.996	1	0	0
"in"	109	1	"01a"	"IN"	"In"	"Vn"	"In"	"Vn"	0	1	1	"0"	78.4652	1	0	0
"follow"	350	1	"01a"	"VB"	"fQl5"	"fQl5"	"fQ.l5"	"fQ.l5"	0	2	2	"10"	78.573	1	0	0
"up"	292	1	"01a"	"RP"	"Vp"	"Vp"	"Vp"	"Vp"	0	1	1	"1"	78.9209	1	0	0
"and"	92	1	"01a"	"CC"	"{nd"	"En"	"{nd"	"En"	0	1	1	"0"	79.2111	1	0	0
"in"	138	1	"01a"	"IN"	"In"	"En"	"In"	"En"	0	1	1	"0"	79.3019	1	0	0
"clinic"	333	1	"01a"	"NN"	"klInIk"	"klVnIk"	"klI.nIk"	"klV.nIk"	1	2	2	"10"	79.4389	1	0	0
"um"	221	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	80.5719	1	0	0
"they"	110	1	"01a"	"PRP"	"D1"	"D1"	"D1"	"D1"	0	1	1	"1"	80.7923	1	0	0
"sort"	163	1	"01a"	"NN"	"s5rt"	"sVr"	"s5rt"	"sVr"	0	1	1	"1"	80.9008	1	0	0
"of"	86	1	"01a"	"IN"	"Vv"	"Vv"	"Vv"	"Vv"	0	1	1	"1"	81.0621	1	0	0
"created"	329	1	"01a"	"VBN"	"kri1tVd"	"kr1REd"	"kri.1.tVd"	"kr1.REd"	0	3	2	"??"	81.1469	1	0	0
"the"	60	1	"01a"	"DT"	"Di"	"D"	"Di"	"D"	0	1	1	"0"	81.473	1	0	0
"position"	479	1	"01a"	"NN"	"pVzISVn"	"pVzVSVn"	"pV.zI.SVn"	"pV.zV.SVn"	0	3	3	"010"	81.5327	1	0	0
"for"	200	1	"01a"	"IN"	"f5r"	"f5r"	"f5r"	"f5r"	0	1	1	"1"	82.0087	1	0	0
"me"	270	1	"01a"	"PRP"	"mi"	"mi"	"mi"	"mi"	1	1	1	"1"	82.2067	1	0	0
"about"	212	1	"01a"	"IN"	"Vb6t"	"bVR"	"V.b6t"	"bVR"	0	2	1	"?"	82.8589	1	0	0
"a"	51	1	"01a"	"DT"	"1"	"i"	"1"	"i"	0	1	1	"0"	83.0705	1	0	0
"year"	149	1	"01a"	"NN"	"jIr"	"jir"	"jIr"	"jir"	0	1	1	"1"	83.1207	1	0	0
"ago"	226	1	"01a"	"IN"	"Vg5"	"Vg5"	"V.g5"	"V.g5"	0	2	2	"01"	83.2692	1	0	0
"after"	290	1	"01a"	"IN"	"{ft3"	"{ft3"	"{f.t3"	"{f.t3"	0	2	2	"10"	83.4936	1	0	0
"i"	38	1	"01a"	"PRP"	"2"	"V"	"2"	"V"	0	1	1	"1"	83.7811	1	0	0
"had"	117	1	"01a"	"VBD"	"h{d"	"h{R"	"h{d"	"h{R"	0	1	1	"1"	83.8191	1	0	0
"my"	128	1	"01a"	"PRP$"	"m2"	"mV"	"m2"	"mV"	0	1	1	"1"	83.9343	1	0	0
"little"	197	1	"01a"	"JJ"	"lItP"	"lVRP"	"lI.tP"	"lV.RP"	0	2	2	"10"	84.0613	1	0	0
"boy"	256	1	"01a"	"NN"	"b4"	"b4"	"b4"	"b4"	1	1	1	"1"	84.2571	1	0	0
"um"	341	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	90.4571	1	0	0
"working"	240	1	"01a"	"VBG"	"w3kIN"	"w3kI"	"w3.kIN"	"w3.kI"	0	2	2	"10"	90.8904	1	0	0
"on"	166	1	"01a"	"IN"	"Qn"	"Qn"	"Qn"	"Qn"	0	1	1	"1"	91.1277	1	0	0
"three"	191	1	"01a"	"CD"	"Tri"	"Tri"	"Tri"	"Tri"	0	1	1	"1"	91.2924	1	0	0
"different"	600	1	"01a"	"JJ"	"dIfVrVnt"	"dVfrEnt"	"dI.fV.rVnt"	"dV.frEnt"	1	3	2	"10"	91.4824	1	0	0
"um"	403	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	92.2383	1	0	0
"research"	341	1	"01a"	"NN"	"rIs3J"	"ris3J"	"rI.s3J"	"ri.s3J"	0	2	2	"01"	92.7218	1	0	0
"projects"	516	1	"01a"	"NNS"	"prQ_Ekts"	"prQ_Vkts"	"prQ._Ekts"	"prQ._Vkts"	0	2	2	"10"	93.0608	1	0	0
"with"	106	1	"01a"	"IN"	"wIT"	"wVT"	"wIT"	"wVT"	0	1	1	"1"	93.5724	1	0	0
"three"	129	1	"01a"	"CD"	"Tri"	"Tri"	"Tri"	"Tri"	0	1	1	"1"	93.6765	1	0	0
"different"	301	1	"01a"	"JJ"	"dIfVrVnt"	"dIf3nt"	"dI.fV.rVnt"	"dI.f3nt"	0	3	2	"10"	93.8046	1	0	0
"physicians"	709	1	"01a"	"NNS"	"fIzISVnz"	"fIzISVnz"	"fI.zI.SVnz"	"fI.zI.SVnz"	1	3	3	"010"	94.1024	1	0	0
"two"	242	1	"01a"	"CD"	"tu"	"tu"	"tu"	"tu"	0	1	1	"1"	95.1302	1	0	0
"are"	96	1	"01a"	"VBP"	"Qr"	"3"	"Qr"	"3"	0	1	1	"1"	95.3709	1	0	0
"um"	387	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	95.9865	1	0	0
"specific"	508	1	"01a"	"JJ"	"spVsIfIk"	"spVsVfIk"	"spV.sI.fIk"	"spV.sV.fIk"	0	3	3	"010"	96.7595	1	0	0
"to"	126	1	"01a"	"TO"	"tu"	"tV"	"tu"	"tV"	0	1	1	"1"	97.2626	1	0	0
"the"	81	1	"01a"	"DT"	"Di"	"DV"	"Di"	"DV"	0	1	1	"0"	97.3881	1	0	0
"traumatic"	411	1	"01a"	"JJ"	"trQm{tIk"	"Jm{RIk"	"trQ.m{.tIk"	"Jm{.RIk"	0	3	2	"??"	97.4688	1	0	0
"brain"	191	1	"01a"	"NN"	"br1n"	"br1n"	"br1n"	"br1n"	0	1	1	"1"	97.8763	1	0	0
"injury"	277	1	"01a"	"NN"	"In_Vri"	"En_3i"	"In._V.ri"	"En._3.i"	0	3	3	"100"	98.0654	1	0	0
"service"	592	1	"01a"	"NN"	"s3vIs"	"sVrvEs"	"s3.vIs"	"sVr.vEs"	0	2	2	"10"	98.3394	1	0	0
"looking"	244	1	"01a"	"VBG"	"lUkIN"	"lUkIN"	"lU.kIN"	"lU.kIN"	0	2	2	"10"	98.9299	1	0	0
"at"	89	1	"01a"	"IN"	"{t"	"VY"	"{t"	"VY"	0	1	1	"1"	99.1706	1	0	0
"long"	162	1	"01a"	"JJ"	"lQN"	"lQN"	"lQN"	"lQN"	0	1	1	"1"	99.2588	1	0	0
"term"	193	1	"01a"	"NN"	"t3m"	"t3m"	"t3m"	"t3m"	0	1	1	"1"	99.4195	1	0	0
"outcomes"	460	1	"01a"	"NNS"	"6tkVmz"	"6YkVmz"	"6t.kVmz"	"6Y.kVmz"	0	2	2	"12"	99.6114	1	0	0
"in"	82	1	"01a"	"IN"	"In"	"Vn"	"In"	"Vn"	0	1	1	"0"	100.0684	1	0	0
"people"	247	1	"01a"	"NNS"	"pipP"	"pipV"	"pi.pP"	"pi.pV"	0	2	2	"10"	100.1497	1	0	0
"that"	97	1	"01a"	"WDT"	"D{t"	"D{Y"	"D{t"	"D{Y"	0	1	1	"1"	100.3945	1	0	0
"have"	129	1	"01a"	"VBP"	"h{v"	"hVv"	"h{v"	"hVv"	0	1	1	"1"	100.4901	1	0	0
"sustained"	480	1	"01a"	"VBN"	"sVst1nd"	"sst1nd"	"sV.st1nd"	"sst1nd"	0	2	1	"?"	100.6183	1	0	0
"traumatic"	302	1	"01a"	"JJ"	"trQm{tIk"	"Jm{Ik"	"trQ.m{.tIk"	"Jm{.Ik"	0	3	2	"??"	101.0959	1	0	0
"brain"	220	1	"01a"	"NN"	"br1n"	"br1n"	"br1n"	"br1n"	0	1	1	"1"	101.3959	1	0	0
"injuries"	522	1	"01a"	"NNS"	"In_Vriz"	"In_riz"	"In._V.riz"	"In_.riz"	1	3	2	"??"	101.6136	1	0	0
"the"	85	1	"01a"	"DT"	"Di"	"Di"	"Di"	"Di"	0	1	1	"0"	102.649	1	0	0
"other"	159	1	"01a"	"JJ"	"VD3"	"VDV"	"V.D3"	"V.DV"	0	2	2	"10"	102.7324	1	0	0
"one"	126	1	"01a"	"CD"	"wVn"	"wVn"	"wVn"	"wVn"	0	1	1	"1"	102.8897	1	0	0
"is"	120	1	"01a"	"VBZ"	"Iz"	"Vz"	"Iz"	"Vz"	0	1	1	"1"	103.0145	1	0	0
"a"	61	1	"01a"	"DT"	"1"	"V"	"1"	"V"	0	1	1	"0"	103.1342	1	0	0
"drug"	223	1	"01a"	"NN"	"drVg"	"drVg"	"drVg"	"drVg"	0	1	1	"1"	103.1951	1	0	0
"study"	437	1	"01a"	"NN"	"stVdi"	"stVRi"	"stV.di"	"stV.Ri"	1	2	2	"10"	103.4152	1	0	0
"um"	273	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	104.1671	1	0	0
"looking"	243	1	"01a"	"VBG"	"lUkIN"	"lUkiN"	"lU.kIN"	"lU.kiN"	0	2	2	"10"	104.439	1	0	0
"at"	92	1	"01a"	"IN"	"{t"	"EY"	"{t"	"EY"	0	1	1	"1"	104.6791	1	0	0
"control"	350	1	"01a"	"NN"	"kVntr5l"	"kVnJr5l"	"kVnt.r5l"	"kVnJ.r5l"	0	2	2	"01"	104.7699	1	0	0
"of"	104	1	"01a"	"IN"	"Vv"	"Vv"	"Vv"	"Vv"	0	1	1	"1"	105.1171	1	0	0
"agitation"	792	1	"01a"	"NN"	"{_It1SVn"	"{_t1SVn"	"{._I.t1.SVn"	"{_.t1.SVn"	1	4	3	"???"	105.22	1	0	0
"and"	86	1	"01a"	"CC"	"{nd"	"En"	"{nd"	"En"	0	1	1	"0"	106.562	1	0	0
"the"	91	1	"01a"	"DT"	"Di"	"ni"	"Di"	"ni"	0	1	1	"0"	106.6474	1	0	0
"other"	152	1	"01a"	"JJ"	"VD3"	"VDV"	"V.D3"	"V.DV"	0	2	2	"10"	106.7369	1	0	0
"one"	160	1	"01a"	"CD"	"wVn"	"wVn"	"wVn"	"wVn"	0	1	1	"1"	106.8881	1	0	0
"is"	215	1	"01a"	"VBZ"	"Iz"	"Iz"	"Iz"	"Iz"	0	1	1	"1"	107.0468	1	0	0
"a"	159	1	"01a"	"DT"	"1"	"1"	"1"	"1"	0	1	1	"0"	107.2611	1	0	0
"um"	241	1	"01a"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	107.4197	1	0	0
"spinal"	375	1	"01a"	"JJ"	"sp2nP"	"spVnVl"	"sp2.nP"	"spV.nVl"	0	2	2	"10"	107.66	1	0	0
"cord"	167	1	"01a"	"NN"	"k5rd"	"kVR"	"k5rd"	"kVR"	0	1	1	"1"	108.032	1	0	0
"injury"	436	1	"01a"	"NN"	"In_Vri"	"In_ri"	"In._V.ri"	"In_.ri"	1	3	2	"??"	108.1968	1	0	0
"research"	401	1	"01a"	"NN"	"rIs3J"	"ris3J"	"rI.s3J"	"ri.s3J"	0	2	2	"01"	109.3196	1	0	0
"study"	446	1	"01a"	"NN"	"stVdi"	"stVRi"	"stV.di"	"stV.Ri"	1	2	2	"10"	109.719	1	0	0
"it's"	358	1	"01a"	"PRP_VBZ"	"Its"	"Its"	"Its"	"Its"	0	1	1	"1"	113.9513	1	0	0
"no"	341	1	"01a"	"DT"	"n5"	"n5"	"n5"	"n5"	0	1	1	"1"	115.2566	1	0	0
"it's"	224	1	"01a"	"PRP_VBZ"	"Its"	"Vts"	"Its"	"Vts"	0	1	1	"1"	115.5969	1	0	0
"a"	208	1	"01a"	"DT"	"1"	"1"	"1"	"1"	0	1	1	"0"	115.8187	1	0	0
"uh"	271	1	"01a"	"UH"	"V"	"V"	"V"	"V"	1	1	1	"1"	116.0261	1	0	0
"clinical"	409	1	"01a"	"JJ"	"klInIkP"	"klVnVkVl"	"klI.nI.kP"	"klV.nV.kVl"	0	3	3	"100"	116.7333	1	0	0
"study"	435	1	"01a"	"NN"	"stVdi"	"stVRi"	"stV.di"	"stV.Ri"	0	2	2	"10"	117.1374	1	0	0
"where"	243	1	"01a"	"WRB"	"wEr"	"wEr"	"wEr"	"wEr"	0	1	1	"1"	117.5707	1	0	0
"we're"	135	1	"01a"	"PRP_VBP"	"wir"	"w3"	"wir"	"w3"	0	1	1	"1"	117.8121	1	0	0
"seeing"	401	1	"01a"	"VBG"	"siIN"	"siN"	"si.IN"	"siN"	0	2	1	"?"	117.9457	1	0	0
"how"	498	1	"01a"	"WRB"	"h6"	"h6"	"h6"	"h6"	0	1	1	"1"	118.3457	1	0	0
"treadmill"	575	1	"01a"	"JJ"	"trEdmIl"	"JrEdmIl"	"trEd.mIl"	"JrEd.mIl"	0	2	2	"12"	118.8434	1	0	0
"training"	580	1	"01a"	"NN"	"tr1nIN"	"Jr1niN"	"tr1.nIN"	"Jr1.niN"	1	2	2	"10"	119.4143	1	0	0
"effects"	345	1	"01a"	"NNS"	"EfEkts"	"VfEks"	"E.fEkts"	"V.fEks"	0	2	2	"01"	120.3304	1	0	0
"ambulation"	493	1	"01a"	"NN"	"EmbulESUn"	"ImbjVl1SH"	"Em.bu.lE.SUn"	"Im.bjV.l1.SH"	0	4	4	"????"	120.6727	1	0	0
"in"	85	1	"01a"	"IN"	"In"	"In"	"In"	"In"	0	1	1	"0"	121.1616	1	0	0
"people"	209	1	"01a"	"NNS"	"pipP"	"pipP"	"pi.pP"	"pi.pP"	0	2	2	"10"	121.2458	1	0	0
"with"	74	1	"01a"	"IN"	"wIT"	"wVT"	"wIT"	"wVT"	0	1	1	"1"	121.4532	1	0	0
"spinal"	262	1	"01a"	"JJ"	"sp2nP"	"spVnP"	"sp2.nP"	"spV.nP"	0	2	2	"10"	121.5258	1	0	0
"cord"	152	1	"01a"	"NN"	"k5rd"	"k5R"	"k5rd"	"k5R"	0	1	1	"1"	121.7848	1	0	0
"injury"	370	1	"01a"	"NN"	"In_Vri"	"In_ri"	"In._V.ri"	"In_.ri"	1	3	2	"??"	121.9353	1	0	0
"so"	155	1	"01a"	"RB"	"s5"	"sV"	"s5"	"sV"	0	1	1	"1"	123.7484	1	0	0
"they're"	111	1	"01a"	"PRP_VBP"	"D13"	"DVr"	"D1.3"	"DVr"	0	2	1	"1"	123.9016	1	0	0
"kind"	189	1	"01a"	"NN"	"k2nd"	"k2n"	"k2nd"	"k2n"	0	1	1	"1"	124.0108	1	0	0
"of"	43	1	"01a"	"IN"	"Vv"	"V"	"Vv"	"V"	0	1	1	"1"	124.1986	1	0	0
"spread"	237	1	"01a"	"NN"	"sprEd"	"srER"	"sprEd"	"srER"	0	1	1	"1"	124.2406	1	0	0
"out"	93	1	"01a"	"IN"	"6t"	"VY"	"6t"	"VY"	0	1	1	"1"	124.4751	1	0	0
"twenty"	237	1	"01a"	"CD"	"twEnti"	"tVni"	"twEn.ti"	"tV.ni"	0	2	2	"10"	124.5668	1	0	0
"five"	183	1	"01a"	"CD"	"f2v"	"f2v"	"f2v"	"f2v"	0	1	1	"1"	124.8014	1	0	0
"twenty"	215	1	"01a"	"JJ"	"twEnti"	"twVni"	"twEn.ti"	"twV.ni"	0	2	2	"10"	124.9832	1	0	0
"five"	208	1	"01a"	"CD"	"f2v"	"f2v"	"f2v"	"f2v"	0	1	1	"1"	125.1944	1	0	0
"ten"	201	1	"01a"	"JJ"	"tEn"	"tEm"	"tEn"	"tEm"	0	1	1	"1"	125.4009	1	0	0
"percent"	356	1	"01a"	"NN"	"p3sEnt"	"p3sVn"	"p3.sEnt"	"p3.sVn"	0	2	2	"01"	125.6008	1	0	0
"that's"	148	1	"01a"	"DT_VBZ"	"D{ts"	"nVs"	"D{ts"	"nVs"	0	1	1	"1"	125.9541	1	0	0
